Date,StockPrice
01-01-1970,83.36809524
02-01-1970,81.59105263
03-01-1970,81.33809524
04-01-1970,76.80590909
05-01-1970,69.27857143
06-01-1970,72.01545455
07-01-1970,71.70818182
08-01-1970,69.84380952
09-01-1970,72.74285714
10-01-1970,78.03818182
11-01-1970,81.0105
12-01-1970,84.56636364
01-01-1971,85.143
02-01-1971,86.57105263
03-01-1971,91.6073913
04-01-1971,97.85
05-01-1971,99.2745
06-01-1971,102.1409091
07-01-1971,101.9390476
08-01-1971,103.3736364
09-01-1971,107.6419048
10-01-1971,109.5057143
11-01-1971,108.3980952
12-01-1971,115.9481818
01-01-1972,117.1419048
02-01-1972,123.987
03-01-1972,127.5390909
04-01-1972,128.756
05-01-1972,129.1318182
06-01-1972,131.0854545
07-01-1972,137.394
08-01-1972,143.6252174
09-01-1972,136.6945
10-01-1972,139.3245455
11-01-1972,142.744
12-01-1972,146.2631579
01-01-1973,146.5842857
02-01-1973,143.7705263
03-01-1973,144.3131818
04-01-1973,140.6505
05-01-1973,136.0918182
06-01-1973,141.357619
07-01-1973,142.5085714
08-01-1973,142.436087
09-01-1973,143.2594737
10-01-1973,143.1634783
11-01-1973,138.5433333
12-01-1973,122.987
01-01-1974,120.5440909
02-01-1974,113.2805263
03-01-1974,115.4509524
04-01-1974,108.8609524
05-01-1974,103.7318182
06-01-1974,112.9355
07-01-1974,98.40136364
08-01-1974,78.96409091
09-01-1974,65.8625
10-01-1974,56.09391304
11-01-1974,56.9815
12-01-1974,49.96
01-01-1975,59.24454545
02-01-1975,72.22157895
03-01-1975,77.2355
04-01-1975,77.56136364
05-01-1975,88.52809524
06-01-1975,90.10571429
07-01-1975,86.86772727
08-01-1975,76.53428571
09-01-1975,72.76714286
10-01-1975,79.20521739
11-01-1975,86.01789474
12-01-1975,83.82227273
01-01-1976,88.97428571
02-01-1976,89.07052632
03-01-1976,86.55304348
04-01-1976,85.45047619
05-01-1976,82.104
06-01-1976,80.54363636
07-01-1976,85.46857143
08-01-1976,86.62863636
09-01-1976,86.99238095
10-01-1976,82.80095238
11-01-1976,79.3105
12-01-1976,77.18590909
01-01-1977,76.04571429
02-01-1977,75.93842105
03-01-1977,77.47695652
04-01-1977,76.6175
05-01-1977,74.0152381
06-01-1977,37.25727273
07-01-1977,38.77210526
08-01-1977,39.1926087
09-01-1977,39.74
10-01-1977,38.62190476
11-01-1977,38.00857143
12-01-1977,36.99666667
01-01-1978,36.01428571
02-01-1978,36.31157895
03-01-1978,37.53
04-01-1978,39.984
05-01-1978,42.49090909
06-01-1978,42.32636364
07-01-1978,41.44
08-01-1978,45.08956522
09-01-1978,44.659
10-01-1978,43.46272727
11-01-1978,41.50285714
12-01-1978,43.2015
01-01-1979,44.94
02-01-1979,42.81157895
03-01-1979,41.41727273
04-01-1979,40.233
05-01-1979,38.29227273
06-01-1979,39.06142857
07-01-1979,37.9852381
08-01-1979,39.94826087
09-01-1979,38.48210526
10-01-1979,35.2626087
11-01-1979,33.61
12-01-1979,34.596
01-01-1980,34.25227273
02-01-1980,33.7465
03-01-1980,30.05714286
04-01-1980,31.27904762
05-01-1980,34.16285714
06-01-1980,33.52
07-01-1980,34.43954545
08-01-1980,36.63952381
09-01-1980,34.28285714
10-01-1980,31.94086957
11-01-1980,30.92166667
12-01-1980,31.32818182
01-01-1981,34.34761905
02-01-1981,33.84473684
03-01-1981,36.71227273
04-01-1981,36.2747619
05-01-1981,35.49
06-01-1981,36.92863636
07-01-1981,33.75090909
08-01-1981,33.38952381
09-01-1981,31.99904762
10-01-1981,34.92227273
11-01-1981,35.2215
12-01-1981,35.065
01-01-1982,33.481
02-01-1982,31.59052632
03-01-1982,31.82434783
04-01-1982,34.05047619
05-01-1982,33.752
06-01-1982,33.67227273
07-01-1982,36.22238095
08-01-1982,37.11590909
09-01-1982,40.62809524
10-01-1982,44.04333333
11-01-1982,46.95380952
12-01-1982,51.01318182
01-01-1983,49.41761905
02-01-1983,48.60052632
03-01-1983,50.99608696
04-01-1983,55.3765
05-01-1983,53.52047619
06-01-1983,51.55909091
07-01-1983,48.94
08-01-1983,49.8826087
09-01-1983,50.25809524
10-01-1983,53.60428571
11-01-1983,54.40761905
12-01-1983,55.46571429
01-01-1984,52.50809524
02-01-1984,50.489
03-01-1984,53.88454545
04-01-1984,54.4265
05-01-1984,56.00772727
06-01-1984,57.06761905
07-01-1984,58.34809524
08-01-1984,61.51347826
09-01-1984,61.79263158
10-01-1984,63.15217391
11-01-1984,63.85714286
12-01-1984,61.915
01-01-1985,62.76818182
02-01-1985,61.58789474
03-01-1985,65.83190476
04-01-1985,69.27190476
05-01-1985,67.49772727
06-01-1985,69.385
07-01-1985,71.40727273
08-01-1985,71.78727273
09-01-1985,69.51684211
10-01-1985,70.62826087
11-01-1985,77.81
12-01-1985,84.75380952
01-01-1986,81.23181818
02-01-1986,87.72789474
03-01-1986,102.1925
04-01-1986,108.3272727
05-01-1986,109.7661905
06-01-1986,116.6990476
07-01-1986,41.12181818
08-01-1986,38.56190476
09-01-1986,35.00809524
10-01-1986,36.5026087
11-01-1986,36.43736842
12-01-1986,38.29772727
01-01-1987,40.24571429
02-01-1987,43.62736842
03-01-1987,46.53136364
04-01-1987,44.35238095
05-01-1987,40.989
06-01-1987,44.28090909
07-01-1987,45.34909091
08-01-1987,49.92428571
09-01-1987,49.27
10-01-1987,42.80818182
11-01-1987,39.233
12-01-1987,38.59272727
01-01-1988,38.077
02-01-1988,36.9655
03-01-1988,38.68695652
04-01-1988,38.2835
05-01-1988,36.79333333
06-01-1988,38.30954545
07-01-1988,37.5655
08-01-1988,38.52347826
09-01-1988,42.16952381
10-01-1988,43.10952381
11-01-1988,42.4247619
12-01-1988,44.1447619
01-01-1989,44.95428571
02-01-1989,47.36368421
03-01-1989,49.84272727
04-01-1989,52.6835
05-01-1989,56.33681818
06-01-1989,57.51454545
07-01-1989,59.846
08-01-1989,66.63347826
09-01-1989,63.938
10-01-1989,69.75318182
11-01-1989,74.57571429
12-01-1989,77.848
01-01-1990,73.17954545
02-01-1990,68.70210526
03-01-1990,72.85
04-01-1990,77.8605
05-01-1990,57.76136364
06-01-1990,44.65714286
07-01-1990,45.52571429
08-01-1990,42.65956522
09-01-1990,40.67315789
10-01-1990,42.78
11-01-1990,45.2352381
12-01-1990,47.4335
01-01-1991,46.19545455
02-01-1991,51.27894737
03-01-1991,53.152
04-01-1991,54.12681818
05-01-1991,55.11
06-01-1991,55.4275
07-01-1991,57.37772727
08-01-1991,63.54045455
09-01-1991,64.636
10-01-1991,63.8873913
11-01-1991,67.1155
12-01-1991,74.47380952
01-01-1992,77.19090909
02-01-1992,78.63526316
03-01-1992,81.32636364
04-01-1992,81.66952381
05-01-1992,57.7075
06-01-1992,41.86045455
07-01-1992,41.39363636
08-01-1992,42.92571429
09-01-1992,43.24142857
10-01-1992,39.58727273
11-01-1992,40.8585
12-01-1992,41.24636364
01-01-1993,41.702
02-01-1993,41.43631579
03-01-1993,42.58434783
04-01-1993,39.74714286
05-01-1993,40.128
06-01-1993,41.68954545
07-01-1993,43.70428571
08-01-1993,43.07
09-01-1993,43.12095238
10-01-1993,42.68238095
11-01-1993,41.88904762
12-01-1993,43.50136364
01-01-1994,42.21714286
02-01-1994,41.36315789
03-01-1994,41.63391304
04-01-1994,40.31842105
05-01-1994,40.54952381
06-01-1994,40.65045455
07-01-1994,42.2775
08-01-1994,45.21
09-01-1994,47.49047619
10-01-1994,49.82952381
11-01-1994,51.28809524
12-01-1994,51.29380952
01-01-1995,50.69952381
02-01-1995,53.24578947
03-01-1995,56.76391304
04-01-1995,58.02947368
05-01-1995,59.11636364
06-01-1995,62.29045455
07-01-1995,64.718
08-01-1995,64.99913043
09-01-1995,66.6735
10-01-1995,71.28136364
11-01-1995,73.56333333
12-01-1995,76.787
01-01-1996,74.12727273
02-01-1996,79.7545
03-01-1996,82.7952381
04-01-1996,81.37285714
05-01-1996,58.665
06-01-1996,47.0835
07-01-1996,47.25818182
08-01-1996,50.21863636
09-01-1996,51.5235
10-01-1996,49.75217391
11-01-1996,51.595
12-01-1996,50.50904762
01-01-1997,55.82136364
02-01-1997,60.27789474
03-01-1997,59.978
04-01-1997,58.07590909
05-01-1997,66.40333333
06-01-1997,69.57761905
07-01-1997,69.73590909
08-01-1997,62.48857143
09-01-1997,59.30619048
10-01-1997,59.79652174
11-01-1997,59.39894737
12-01-1997,65.05909091
01-01-1998,65.2055
02-01-1998,68.10105263
03-01-1998,72.87681818
04-01-1998,76.71619048
05-01-1998,77.4175
06-01-1998,81.28818182
07-01-1998,85.33409091
08-01-1998,78.93
09-01-1998,60.9752381
10-01-1998,65.04727273
11-01-1998,71.6205
12-01-1998,67.29136364
01-01-1999,65.17684211
02-01-1999,63.85684211
03-01-1999,65.22869565
04-01-1999,64.09
05-01-1999,67.7895
06-01-1999,64.94636364
07-01-1999,63.03714286
08-01-1999,59.94954545
09-01-1999,54.28380952
10-01-1999,52.27857143
11-01-1999,60.49190476
12-01-1999,61.45272727
01-01-2000,61.1445
02-01-2000,54.0765
03-01-2000,47.53565217
04-01-2000,48.21578947
05-01-2000,50.20545455
06-01-2000,54.64318182
07-01-2000,58.812
08-01-2000,59.94652174
09-01-2000,53.2515
10-01-2000,57.45
11-01-2000,60.25095238
12-01-2000,59.163
01-01-2001,57.94
02-01-2001,57.32578947
03-01-2001,48.39818182
04-01-2001,45.7975
05-01-2001,47.23227273
06-01-2001,45.29952381
07-01-2001,45.41047619
08-01-2001,46.76043478
09-01-2001,48.53333333
10-01-2001,46.54478261
11-01-2001,48.73095238
12-01-2001,46.835
01-01-2002,45.18
02-01-2002,46.04526316
03-01-2002,48.9335
04-01-2002,53.40454545
05-01-2002,56.24454545
06-01-2002,54.8465
07-01-2002,51.17181818
08-01-2002,50.93363636
09-01-2002,49.179
10-01-2002,48.99130435
11-01-2002,45.623
12-01-2002,44.90571429
01-01-2003,43.90761905
02-01-2003,40.20157895
03-01-2003,39.65857143
04-01-2003,41.0147619
05-01-2003,43.44190476
06-01-2003,46.67190476
07-01-2003,44.91136364
08-01-2003,44.36809524
09-01-2003,43.6647619
10-01-2003,44.8326087
11-01-2003,46.53421053
12-01-2003,48.82136364
01-01-2004,49.8075
02-01-2004,50.48736842
03-01-2004,49.03130435
04-01-2004,51.05238095
05-01-2004,50.168
06-01-2004,51.35047619
07-01-2004,48.78714286
08-01-2004,44.115
09-01-2004,41.94571429
10-01-2004,39.87095238
11-01-2004,40.5
12-01-2004,40.90045455
01-01-2005,41.1955
02-01-2005,42.61368421
03-01-2005,42.36954545
04-01-2005,42.17428571
05-01-2005,44.38857143
06-01-2005,43.63772727
07-01-2005,43.113
08-01-2005,43.87086957
09-01-2005,43.34619048
10-01-2005,42.32619048
11-01-2005,42.53
12-01-2005,41.5447619
01-01-2006,41.1545
02-01-2006,41.50315789
03-01-2006,42.32782609
04-01-2006,41.65368421
05-01-2006,43.31272727
06-01-2006,43.17090909
07-01-2006,43.6735
08-01-2006,44.26391304
09-01-2006,44.559
10-01-2006,45.22727273
11-01-2006,46.70142857
12-01-2006,48.4165
01-01-2007,48.271
02-01-2007,47.82578947
03-01-2007,47.31045455
04-01-2007,50.618
05-01-2007,52.48818182
06-01-2007,51.88047619
07-01-2007,53.03285714
08-01-2007,54.02304348
09-01-2007,55.70263158
10-01-2007,58.89782609
11-01-2007,61.71761905
12-01-2007,62.8885
01-01-2008,61.42047619
02-01-2008,58.908
03-01-2008,59.5635
04-01-2008,60.37909091
05-01-2008,57.53380952
06-01-2008,55.09952381
07-01-2008,51.22818182
08-01-2008,54.17380952
09-01-2008,52.60952381
10-01-2008,46.4573913
11-01-2008,44.58526316
12-01-2008,45.02363636
01-01-2009,43.919
02-01-2009,42.65368421
03-01-2009,41.515
04-01-2009,44.14285714
05-01-2009,44.8245
06-01-2009,48.64590909
07-01-2009,49.36045455
08-01-2009,49.15095238
09-01-2009,51.58857143
10-01-2009,54.09
11-01-2009,55.908
12-01-2009,57.79090909
